name,path,cost,status_code,status_message,result_counts
local-grid-local_finder-office-bardstown-road-counseling Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-office-bardstown-road-mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-office-bardstown-road-mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-office-bardstown-road-family therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-office-bardstown-road-case management Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-office-bardstown-road-child therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-office-bardstown-road-case management Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-office-bardstown-road-family therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-office-bardstown-road-group therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-office-bardstown-road-community based mental health services Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-office-bardstown-road-in home therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-office-bardstown-road-child therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-office-bardstown-road-in home therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-downtown-louisville-therapy Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-office-bardstown-road-community based mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-downtown-louisville-therapist Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-office-bardstown-road-group therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-downtown-louisville-therapy Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-downtown-louisville-therapist Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-local_finder-downtown-louisville-counseling Louisville KY,/v3/serp/google/local_finder/live/advanced,0.002,20000,Ok.,1
local-grid-maps-downtown-louisville-mental health services Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
local-grid-maps-downtown-louisville-counseling Louisville KY,/v3/serp/google/maps/live/advanced,0.002,20000,Ok.,1
